,Your gender ,Your age ,How important is exercise to you ?,How do you describe your current level of fitness ?,How often do you exercise?,Do you exercise ___________ ?,What time if the day do you prefer to exercise?,How long do you spend exercising per day ?,Would you say you eat a healthy balanced diet ?,"What prevents you from eating a healthy balanced diet, If any?                         (Please select all that apply)",How healthy do you consider yourself?,Have you ever recommended your friends to follow a fitness routine?,Have you ever purchased a fitness equipment?
0,0,0,2,2,1,1,0,2,0,3,3,0,1
1,0,0,4,3,1,3,0,2,0,3,4,0,1
2,0,1,3,2,0,0,0,0,0,0,4,0,0
3,0,1,4,2,3,0,1,1,1,0,4,0,1
4,0,0,3,1,1,1,1,2,1,3,4,0,1
5,0,2,5,1,3,3,1,1,0,0,3,0,1
6,1,2,3,2,0,0,0,0,2,0,3,1,1
7,0,1,3,1,1,0,0,2,0,0,2,0,0
8,1,0,5,1,3,2,1,1,2,0,2,0,1
9,1,1,5,3,4,2,0,1,0,3,3,0,0
10,1,1,4,3,3,3,0,1,1,1,4,0,0
11,1,0,5,1,3,0,0,3,2,0,4,0,0
13,0,1,3,1,0,0,1,0,0,0,3,1,0
14,1,0,5,1,0,0,1,0,2,3,3,0,0
15,0,1,3,1,4,0,0,0,0,5,3,1,1
16,1,1,3,1,1,1,1,2,0,1,2,1,1
17,1,1,5,2,0,0,0,1,0,0,3,1,1
19,1,1,3,2,4,3,0,0,0,0,3,1,0
20,1,0,4,1,2,0,0,0,0,5,2,1,1
21,1,0,4,2,1,0,1,2,2,1,3,0,1
22,1,2,3,1,1,0,0,2,1,1,2,0,0
23,1,1,4,1,0,0,1,0,0,3,3,1,1
24,1,0,3,1,3,3,1,3,0,1,2,1,0
25,0,1,2,1,2,0,1,0,1,1,3,1,0
26,1,0,3,2,0,0,0,0,1,1,4,1,1
27,0,0,3,1,0,0,0,1,0,0,4,1,1
28,1,1,4,2,4,3,1,3,2,5,3,0,0
29,1,1,5,3,4,2,1,1,0,5,4,0,0
30,0,0,4,2,3,0,0,0,1,0,4,0,1
31,0,0,3,1,0,0,0,0,0,0,3,0,1
32,0,0,3,1,3,0,0,0,2,3,3,0,1
33,1,1,4,1,3,2,1,3,0,3,3,1,1
34,1,0,4,1,0,0,0,0,0,3,3,0,0
35,1,1,5,2,4,2,0,1,0,5,3,0,1
36,0,0,3,1,4,2,1,1,0,0,3,0,1
37,1,0,4,2,2,0,0,1,0,3,3,0,1
38,0,1,4,2,4,3,0,1,2,3,2,0,1
39,1,0,5,3,5,0,0,1,1,0,4,0,0
40,0,1,4,1,0,3,2,0,0,3,4,1,1
41,1,0,5,1,4,2,1,3,0,0,3,0,0
42,0,0,4,1,0,0,1,0,2,0,2,0,0
43,0,0,4,1,0,0,1,0,0,3,3,0,1
44,0,0,2,2,1,0,0,2,0,3,3,0,0
45,1,0,3,3,2,0,0,0,1,1,4,1,1
46,0,0,5,1,2,0,0,1,0,1,3,0,0
47,1,1,3,1,1,2,0,2,0,5,3,0,1
48,0,3,4,1,0,1,1,0,0,1,3,0,1
49,0,0,4,2,2,0,0,0,0,3,3,1,0
50,0,0,4,2,0,2,1,0,0,3,3,0,1
51,1,0,4,1,5,2,1,1,1,3,2,0,1
52,0,0,4,1,0,0,1,0,0,0,4,0,0
53,0,1,4,2,2,3,1,0,1,0,4,1,0
54,0,1,2,1,1,1,0,2,0,3,2,1,1
55,1,2,5,2,3,0,1,0,0,0,3,0,0
56,1,0,3,2,3,2,0,1,0,1,3,0,1
57,0,0,4,2,5,3,0,1,1,0,4,0,1
58,0,0,3,2,0,0,1,0,0,3,3,0,1
59,0,0,4,1,2,0,0,0,0,0,4,0,1
60,1,1,4,2,3,3,1,3,0,0,4,0,1
61,1,0,2,1,1,1,1,2,1,3,4,1,1
62,1,4,5,1,1,1,0,2,2,3,4,1,1
63,1,0,5,2,4,0,0,3,1,0,4,0,1
64,1,0,5,1,1,2,0,1,2,0,4,0,1
65,0,0,3,1,1,1,0,2,2,3,3,0,1
66,0,4,4,2,1,2,1,2,0,0,3,1,1
67,0,1,4,2,0,0,1,1,0,0,3,0,1
68,0,2,5,2,2,0,0,0,0,3,3,0,1
69,1,0,5,2,4,0,0,0,0,3,4,0,1
70,0,0,3,2,1,1,0,2,0,3,4,1,1
71,0,0,3,2,0,0,0,0,0,3,3,0,0
72,1,2,4,2,2,3,1,1,1,5,4,0,0
73,0,2,3,1,0,0,0,0,0,0,3,0,0
74,0,2,5,1,1,1,0,2,0,1,3,1,0
75,1,0,5,1,0,0,1,0,2,3,3,1,0
76,0,3,5,1,2,4,0,1,0,0,3,0,1
77,0,0,3,1,5,2,0,2,2,3,5,0,1
78,0,0,4,2,4,0,1,3,1,0,4,0,0
79,1,2,4,1,3,0,0,0,1,0,3,0,0
80,1,4,2,1,0,2,0,0,0,0,3,1,0
81,0,0,5,1,0,0,0,1,0,0,3,0,0
82,1,2,5,3,3,4,1,3,1,0,4,0,0
83,1,2,5,2,3,2,1,1,1,0,4,1,1
84,0,3,3,1,3,0,0,0,0,0,3,0,1
85,0,0,3,1,1,1,0,2,0,0,3,1,1
86,0,3,4,1,2,0,0,0,0,1,3,1,1
87,0,2,5,3,0,0,1,0,0,0,3,0,0
88,1,2,5,2,3,3,0,1,0,1,4,0,0
89,1,2,5,2,2,0,0,1,1,1,4,0,0
90,0,2,5,1,3,0,0,0,0,0,3,1,1
91,1,2,4,2,2,0,0,0,2,0,4,0,0
92,1,0,4,1,2,0,1,1,0,5,2,1,0
93,0,0,4,1,0,0,1,2,0,1,3,1,0
94,0,0,5,1,4,0,1,3,2,1,3,0,0
95,0,2,5,2,1,1,1,2,1,0,3,0,0
96,1,2,4,3,5,0,0,1,0,3,3,1,0
97,0,0,5,2,3,0,0,0,0,0,4,0,1
98,1,4,5,2,2,4,0,1,0,5,4,0,1
99,1,1,5,1,0,3,0,1,0,0,2,0,1
100,1,0,3,1,5,0,1,1,2,1,4,0,0
101,0,2,4,2,4,0,0,0,0,1,4,0,1
102,1,0,5,3,2,0,1,1,0,0,4,0,0
103,1,1,5,3,4,3,0,3,0,0,4,0,1
104,1,0,4,2,3,3,1,1,1,0,4,1,1
105,0,1,4,1,4,0,0,0,2,0,3,0,1
106,0,0,3,2,0,0,0,0,0,3,3,1,0
107,1,2,5,2,4,0,0,0,0,1,3,0,0
108,1,1,3,2,0,0,0,1,0,0,4,0,1
109,0,1,4,1,0,0,0,1,0,0,4,0,0
110,1,2,5,2,0,0,0,1,0,0,3,1,1
111,1,0,3,1,0,0,0,1,0,1,3,1,1
112,1,1,2,1,1,0,1,0,0,3,2,1,1
113,1,1,3,1,1,1,1,2,0,3,3,0,1
114,0,1,4,1,1,0,1,2,1,0,3,1,0
115,1,1,4,2,4,0,1,3,0,0,5,1,0
116,1,1,4,2,0,2,2,3,0,0,4,0,1
117,1,0,3,1,1,1,0,2,0,0,3,1,1
118,0,1,4,1,0,2,1,0,2,0,3,0,0
119,1,0,4,3,4,0,1,0,0,3,4,0,0
120,1,0,4,3,5,3,0,3,2,3,3,0,0
121,0,0,3,1,0,2,1,0,1,3,3,0,0
122,0,0,3,1,5,0,0,0,0,0,3,1,1
123,1,1,1,1,0,0,0,0,2,0,3,1,1
124,0,1,5,2,0,2,1,3,2,0,3,0,1
126,1,0,5,1,4,0,1,0,0,1,3,0,1
127,1,0,5,3,4,3,1,4,1,1,5,0,0
128,0,1,5,2,4,2,1,3,1,3,3,0,0
129,0,0,3,2,4,3,0,3,0,1,3,0,1
130,0,1,4,2,4,3,1,0,0,1,5,1,1
131,0,1,3,2,4,2,1,0,2,3,3,1,1
132,1,0,5,2,4,0,0,0,2,0,3,1,1
133,0,3,5,1,4,0,0,0,1,0,3,1,1
136,0,1,4,1,0,4,1,0,0,0,3,0,1
137,0,0,3,1,1,1,1,2,1,0,3,1,0
138,0,1,2,2,0,0,1,0,0,0,4,1,1
139,0,3,3,2,2,0,0,0,0,5,3,0,1
140,1,2,5,2,0,0,1,0,1,0,4,0,0
141,1,0,3,1,0,0,0,0,0,1,3,0,1
142,1,2,5,1,0,0,0,0,1,0,3,0,0
143,0,2,2,2,1,1,1,2,0,0,3,1,0
144,0,0,4,2,0,2,1,0,0,1,3,1,1
145,1,2,5,3,5,3,0,3,1,1,5,0,1
146,1,3,5,2,5,0,0,1,1,0,5,0,0
147,1,4,3,1,0,0,0,0,0,3,3,1,1
148,1,2,4,1,2,0,1,1,0,3,3,1,1
149,0,1,5,1,1,1,1,2,0,0,3,0,0
150,0,0,4,2,1,1,0,2,0,0,4,0,1
151,0,2,5,1,0,0,1,1,2,3,2,0,0
152,1,2,5,2,0,0,0,0,0,1,3,0,0
153,1,2,4,1,0,0,1,1,0,0,3,0,1
154,1,3,3,1,1,0,0,1,2,1,5,0,1
155,0,1,4,3,2,0,1,0,1,3,3,0,1
156,1,0,5,3,0,0,1,0,0,1,4,1,1
157,1,0,5,2,0,0,0,0,0,1,5,0,1
158,1,1,5,3,4,3,1,3,0,0,4,0,0
159,0,1,5,3,3,0,2,0,0,0,3,0,0
160,1,0,4,1,3,3,1,1,0,0,3,0,0
161,1,0,5,3,5,2,0,3,1,1,4,0,1
162,1,0,5,2,2,0,0,0,2,3,4,1,0
163,1,0,5,3,0,2,1,1,0,1,4,0,1
164,1,1,4,2,0,0,1,0,1,3,4,1,1
165,1,2,5,2,5,3,0,1,0,3,4,0,0
166,1,0,4,3,3,2,1,1,1,0,4,0,0
167,1,0,4,2,3,3,0,1,0,3,3,1,1
168,0,2,4,1,0,0,1,1,0,0,3,1,1
169,0,1,2,1,1,1,0,2,0,1,3,1,1
170,0,0,4,2,3,0,1,0,0,0,3,0,1
171,0,1,2,1,1,1,1,2,1,0,3,1,1
172,0,1,5,1,1,1,0,2,0,3,3,0,1
174,0,1,4,3,2,2,1,0,0,0,4,0,0
175,0,1,4,2,0,3,1,1,2,0,4,0,0
176,1,2,5,3,4,0,0,1,1,0,5,0,0
177,0,0,4,1,0,0,0,1,0,0,3,0,1
178,1,0,5,3,4,0,1,1,1,3,5,0,1
179,1,2,5,3,5,0,0,1,0,1,4,0,1
180,1,2,5,3,4,0,0,4,1,1,5,0,0
181,1,1,2,1,1,1,0,2,0,3,3,1,1
182,0,0,1,1,1,1,0,2,2,3,2,1,1
183,0,1,3,2,2,2,1,1,0,1,3,1,1
184,0,3,4,1,1,1,0,2,2,1,2,0,1
185,0,2,5,3,5,2,1,1,0,1,4,0,0
186,1,0,5,2,5,0,1,1,0,1,3,1,0
187,0,1,4,1,4,0,0,1,0,3,3,1,0
188,0,1,3,2,0,1,0,0,0,5,3,0,1
189,1,0,5,1,1,2,0,3,2,0,3,0,0
190,1,0,5,2,3,3,0,3,0,5,3,0,1
191,0,0,4,2,2,2,1,1,0,0,4,1,0
192,1,1,4,2,0,0,0,0,0,0,4,1,1
193,0,0,4,2,0,2,0,0,0,3,3,0,1
194,1,3,3,1,0,3,1,3,2,5,3,1,1
196,1,1,3,2,1,3,0,2,2,3,3,0,1
197,1,2,5,2,3,0,0,1,0,1,3,0,0
198,1,2,3,1,1,0,0,0,1,1,4,0,0
199,1,2,5,2,3,0,1,1,1,0,4,0,0
200,0,1,3,1,1,0,1,2,0,0,3,0,1
201,1,3,4,1,0,3,0,0,0,0,3,1,1
202,1,1,4,3,2,2,1,0,0,0,3,1,1
203,1,1,5,2,5,2,1,3,2,3,3,0,1
204,0,4,5,2,5,0,2,1,0,1,3,0,1
205,0,0,3,3,0,0,0,0,1,1,4,1,0
206,0,2,4,1,3,3,0,3,1,3,3,0,1
207,0,0,4,1,2,0,0,0,0,0,3,0,0
208,0,0,3,1,2,0,0,0,0,3,3,1,1
209,0,1,4,2,2,0,0,0,2,3,4,1,1
210,0,2,4,1,3,4,0,1,0,3,2,0,0
211,1,3,5,2,0,0,0,0,0,1,4,0,1
212,0,0,3,1,1,1,0,2,2,0,2,1,1
213,1,3,3,1,1,1,0,2,0,1,3,0,1
214,0,0,3,1,0,0,1,2,0,1,2,1,0
215,1,3,5,2,5,0,0,1,1,0,5,0,0
216,0,1,5,2,0,0,0,0,0,1,4,0,1
217,0,0,2,1,1,1,0,2,2,3,3,0,1
219,0,1,3,2,0,2,0,0,0,1,4,0,1
220,1,0,4,1,1,1,1,1,0,1,3,0,1
221,0,1,4,2,2,2,0,1,0,0,3,1,1
222,0,1,5,1,1,1,1,2,0,3,3,0,1
223,0,0,4,1,4,0,0,0,0,3,4,1,0
224,1,0,4,3,3,0,1,1,0,1,5,0,0
225,0,0,4,1,0,2,0,1,2,3,2,1,1
226,0,1,5,2,4,0,1,1,0,0,3,0,1
227,0,0,5,2,4,0,0,1,2,1,3,1,0
228,0,0,4,2,2,3,1,3,0,1,3,1,1
229,0,1,5,3,4,0,1,1,1,0,4,0,0
230,1,0,3,3,2,3,1,1,1,0,4,1,1
231,0,0,3,1,0,0,0,2,0,1,3,0,1
232,0,1,4,2,0,2,1,0,2,0,4,0,0
233,1,1,3,3,1,0,0,1,2,0,5,1,1
234,0,1,4,2,3,0,0,1,0,3,2,0,1
235,0,1,4,2,0,0,1,0,2,3,4,0,0
236,1,0,3,2,0,0,1,1,0,3,3,1,0
237,0,0,4,2,0,2,1,1,1,0,3,0,1
238,1,3,5,1,2,0,0,0,0,3,3,0,1
239,0,0,4,2,2,0,0,0,0,0,3,0,1
240,0,1,3,2,1,1,1,2,2,0,3,1,0
241,0,0,5,2,3,0,1,0,2,1,3,0,1
242,0,1,3,1,1,1,0,1,0,1,3,1,1
243,1,0,5,1,0,3,0,0,0,0,3,0,1
244,0,1,5,2,4,0,0,0,2,0,3,1,1
245,0,1,2,1,1,1,1,2,1,0,3,1,1
246,0,0,4,1,1,1,0,2,2,3,3,1,1
247,0,2,5,2,4,0,0,0,0,1,3,0,1
248,0,0,3,1,3,0,1,1,0,3,3,0,1
249,0,1,3,1,0,3,0,0,0,3,3,1,1
250,0,1,5,3,2,0,0,1,0,3,4,1,1
251,1,1,3,1,0,2,1,0,2,3,3,1,1
252,1,0,3,2,1,1,1,2,2,3,3,1,1
253,0,0,3,1,1,4,0,2,1,0,4,1,0
254,0,3,3,1,0,3,0,1,1,1,3,0,1
255,0,2,5,1,0,0,1,1,0,5,3,0,0
256,1,1,2,1,1,2,2,0,2,3,4,1,1
257,0,1,4,2,3,3,0,1,0,0,3,0,1
258,1,0,4,1,0,0,0,0,0,0,3,0,1
259,1,0,4,1,1,0,0,1,2,1,2,1,1
260,1,0,2,1,1,1,1,0,2,3,2,1,1
261,1,0,3,3,4,0,1,1,1,3,3,0,1
262,0,1,4,2,2,2,1,1,0,3,3,1,0
263,1,0,4,3,3,2,1,1,1,1,4,0,1
264,1,0,2,1,1,4,1,0,2,1,3,1,1
265,0,3,2,3,1,2,1,0,0,0,4,1,1
266,0,0,3,2,5,2,1,0,0,3,3,1,1
267,1,1,3,1,0,2,0,1,1,3,3,1,1
268,0,1,3,2,2,2,1,0,0,3,3,0,0
269,1,1,1,1,1,1,1,2,0,1,3,1,0
270,0,1,4,1,5,3,0,3,2,0,4,0,1
271,0,0,5,3,4,0,1,0,0,0,4,0,1
272,0,1,3,1,0,2,1,1,0,1,3,1,0
273,0,1,2,1,1,1,0,2,0,3,3,1,1
274,1,0,3,1,2,0,0,0,0,0,4,1,1
275,0,0,1,1,1,1,1,2,0,0,3,1,1
276,0,1,2,1,3,2,0,0,0,0,3,0,1
277,0,1,5,2,4,3,0,0,2,3,3,0,1
278,0,1,3,1,3,0,1,1,0,0,2,0,1
279,1,0,1,3,0,0,1,3,2,0,5,1,0
280,0,0,4,2,2,0,1,0,0,3,4,0,1
281,1,2,5,1,0,0,0,1,2,1,3,0,1
282,0,1,3,1,0,0,1,0,0,3,3,0,0
283,0,1,3,2,1,1,0,2,2,0,3,0,1
284,0,0,3,3,1,0,0,0,0,3,5,1,1
285,0,3,5,1,1,1,0,2,1,3,3,1,1
286,1,1,5,3,4,3,1,1,0,0,3,0,1
287,0,1,4,2,5,0,0,0,0,0,3,1,0
288,1,3,3,2,1,1,0,2,0,0,4,1,1
289,1,1,3,1,1,2,0,0,2,0,3,0,0
290,1,3,3,1,1,1,0,2,0,3,2,0,1
291,0,3,5,1,0,0,0,0,0,1,3,0,0
292,0,0,5,2,0,0,0,0,0,0,3,0,0
293,0,3,2,1,1,1,1,2,0,1,2,0,1
294,0,3,5,1,4,0,0,1,0,0,3,0,1
295,1,3,3,1,2,0,0,0,2,1,3,0,1
296,0,0,4,1,2,0,1,0,0,3,3,0,1
297,0,1,5,3,4,0,0,1,0,0,4,0,1
298,1,2,3,1,1,1,0,2,1,1,3,0,0
299,0,1,5,1,1,4,0,2,0,0,3,1,1
300,1,1,5,3,4,2,0,4,2,0,5,0,0
301,0,4,4,3,5,0,1,0,0,0,4,0,1
303,0,3,3,1,2,0,1,3,0,5,3,0,1
304,0,3,5,1,0,0,1,0,0,1,3,0,1
305,0,1,4,2,2,0,1,0,0,0,3,0,1
306,0,1,3,2,1,1,0,2,0,1,3,0,1
307,0,2,2,3,1,1,0,2,1,0,2,1,1
308,0,1,3,2,1,1,0,2,1,0,4,1,1
309,1,1,4,1,0,0,1,1,0,0,2,0,1
310,0,1,3,2,0,3,2,1,0,0,3,0,0
311,1,0,4,1,0,3,1,1,2,1,3,1,1
312,1,0,4,2,3,0,0,3,1,3,4,0,1
313,0,1,4,1,1,1,0,2,0,0,3,0,1
314,0,1,4,3,0,0,1,0,0,0,3,1,1
315,0,1,4,1,0,0,1,1,2,3,2,0,1
316,1,0,4,2,3,0,1,1,2,0,3,1,0
317,1,1,5,3,5,3,1,1,2,1,4,0,1
318,1,0,5,2,5,0,1,3,0,3,3,1,1
319,1,0,4,2,3,0,2,1,0,0,3,0,0
320,0,2,1,3,1,0,0,2,1,0,5,0,1
321,0,2,5,2,5,0,1,1,0,0,3,0,1
322,0,0,3,3,0,0,0,0,1,0,3,0,1
323,1,0,5,3,5,0,2,1,0,0,4,0,1
324,1,0,5,1,3,0,0,1,1,1,3,1,0
325,0,0,3,2,0,0,0,0,0,0,3,1,1
326,1,1,4,2,3,3,1,3,1,0,3,0,0
327,0,1,4,2,3,0,1,0,0,3,3,0,1
328,0,0,4,1,2,0,0,1,0,3,3,0,0
329,1,1,3,2,2,0,1,1,1,3,3,1,1
330,0,1,5,2,0,2,0,3,0,0,4,0,1
331,1,0,4,1,3,0,1,1,1,0,3,1,1
332,1,1,4,3,3,2,0,0,0,1,4,1,1
333,0,1,4,2,5,2,0,0,0,3,3,1,0
